わざ名,配布対象
いちゃもん,"もりみつ、うめ、とうま、もりもり、あゆま、ともき、まっちゃん、みっちー、せな、
いっくん"
うそなき,とうま、あゆま、みっちー
おきみやげ,とうま、あゆま、みっちー
おだてる,もりみつ、たかほ、まっちゃん
すてゼリフ,あゆま
すりかえ,ともき、みっちー
ちょうはつ,えいらく、もりみつ、うめ、とうま、あゆま、まっちゃん、みっちー
つめとぎ,とうま、あゆま、みっちー、にしき
わるだくみ,"えいらく、たつた、もりみつ、うめ、まちだ、とうま、もりもり、あゆま、ともき、
はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、れおさん"
イカサマ,とうま、あゆま、みっちー
うっぷんばらし,もりもり、あゆま、ともき、はるた、まっちゃん、せな
かみくだく,とうま、あゆま、みっちー
かみつく,とうま、あゆま、みっちー
くらいつく,とうま、あゆま、まっちゃん、みっちー、にしき
じごくづき,もりみつ、とうま、あゆま、みっちー
しっぺがえし,とうま、あゆま、みっちー
ダメおし,とうま、あゆま、みっちー
つけあがる,とうま
つじぎり,とうま、あゆま、ぶっちー
どろぼう,とうま、あゆま、みっちー
なげつける,たつた、うめ、とうま、あゆま、ともき、せな
はたきおとす,とうま、もりもり、あゆま、みっちー
ふいうち,もりみつ、とうま、あゆま、ともき、みっちー
ふくろだたき,とうま、あゆま、みっちー
ぶんまわす,まっちゃん
あくのはどう,とうま、あゆま、みっちー、れおさん
カタストロフィ,とうま、もりもり、あゆま、いっくん
ナイトバースト,とうま、あゆま、みっちー
バークアウト,あゆま、みっちー
ステルスロック,もりみつ、たかほ、うめ、とうま、もりもり、ともき、みっちー、いっくん
すなあらし,いっくん
ロックカット,たつた、たかほ、にしき、いっくん、まこっちゃん
アクセルロック,たかほ、いっくん
いわおとし,たかほ、とうま、いっくん
いわなだれ,たかほ、とうま、いっくん
がんせきふうじ,たかほ、いっくん
ころがる,たかほ、うめ、はるた、いっくん
ストーンエッジ,えいらく、たかほ、いっくん
ロックブラスト,たかほ、いっくん
げんしのちから,れおさん
パワージェム,たかほ、いっくん
メテオビーム,たつた、たかほ、いっくん
いやしのねがい,ぶっちー、はるた、にしき、まこっちゃん
ガードシェア,ぶっちー、にしき、いっくん
ガードスワップ,ぶっちー、みっちー、にしき
こうそくいどう,えいらく、まちだ、あゆま、ともき、はるた、まっちゃん、みっちー
コスモパワー,れおさん
サイコフィールド,ぶっちー、みっちー、にしき
さいみんじゅつ,みっちー、にしき、れおさん
じゅうりょく,みっちー、にしき
スキルスワップ,ぶっちー、みっちー、にしき
テレポート,もりみつ、れおさん
トリック,とうま、ぶっちー、みっちー、にしき、まこっちゃん
トリックルーム,にしき
ドわすれ,"たつた、うめ、とうま、もりもり、あゆま、まっちゃん、にしき、せな、いっくん、
ふうと
"
ねむる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、
まこっちゃん"
パワーシェア,もりみつ、たかほ、ぶっちー、まっちゃん、みっちー、にしき
パワースワップ,みっちー、にしき
パワートリック,とうま、ぶっちー、みっちー、にしき、まこっちゃん
ひかりのかべ,もりみつ、うめ、ぶっちー、はるた、みっちー、にしき、まこっちゃん、れおさん
ふういん,ぶっちー、みっちー、にしき、まこっちゃん
めいそう,たかほ、まっちゃん、にしき、れおさん、まこっちゃん
リフレクター,もりみつ、うめ、はるた、みっちー、にしき、まこっちゃん、れおさん
サイコカッター,とうま、ぶっちー、みっちー、にしき
サイコファング,ぶっちー、みっちー、にしき
しねんのずつき,みっちー、にしき
アシストパワー,もりみつ、たかほ、ぶっちー、まっちゃん、みっちー、にしき、まこっちゃん
サイケこうせん,ぶっちー、みっちー、にしき、まこっちゃん
サイコキネシス,ぶっちー、みっちー、にしき、まこっちゃん、れおさん
サイコショック,ぶっちー、みっちー、にしき、まこっちゃん
サイコノイズ,ぶっちー、みっちー、にしき
じんつうりき,れおさん
ねんりき,れおさん
ミラーコート,ぶっちー、みっちー、にしき
みらいよち,もりみつ、みっちー、まこっちゃん
ゆめくい,みっちー、にしき
はいすいのじん,えいらく、たつた、とうま、はるた、にしき、せな
ビルドアップ,えいらく、もりみつ、あゆま、まっちゃん
みきり,たかほ、とうま、まっちゃん
アームハンマー,えいらく、とうま、もりもり、まっちゃん
いわくだき,えいらく、たかほ、とうま、もりもり、あゆま、まっちゃん
インファイト,とうま、まっちゃん
カウンター,えいらく、たかほ、とうま、あゆま、まっちゃん
かかとおとし,とうま、まっちゃん
かわらわり,たかほ、とうま、まっちゃん
きあいパンチ,えいらく、たかほ、とうま、もりもり、あゆま、まっちゃん
きしかいせい,たつた、うめ、まっちゃん、にしき、いっくん
クロスチョップ,えいらく、たかほ、とうま、まっちゃん
けたぐり,たかほ、とうま、まっちゃん
つっぱり,もりもり、いっくん
とびひざげり,とうま、まっちゃん
ともえなげ,とうま
トリプルキック,たかほ、とうま、まっちゃん
ドレインパンチ,もりみつ、たかほ、とうま、まっちゃん
にどげり,たかほ、とうま、あゆま、まっちゃん
ばかぢから,えいらく、あゆま、まっちゃん
ばくれつパンチ,まっちゃん
はっけい,とうま
はやてがえし,もりみつ、たかほ
ボディプレス,もりもり、いっくん
マッハパンチ,まっちゃん
ローキック,とうま、あゆま、まっちゃん、ふうと
いのちがけ,れおさん
きあいだま,えいらく、たかほ、もりもり、あゆま、まっちゃん、れおさん
しんくうは,みっちー、まこっちゃん
はどうだん,えいらく、とうま、あゆま、まっちゃん、れおさん
キノコのほうし,たつた、せな、いっくん
グラスフィールド,たつた、とうま、ぶっちー
こうごうせい,たつた、たかほ
コットンガード,たつた
しびれごな,たつた、たかほ、はるた、まっちゃん、
ちからをすいとる,れおさん
なやみのタネ,たかほ、もりもり
ねをはる,たつた、もりみつ、たかほ
やどりぎのタネ,たつた、たかほ
わたほうし,たつた
ウッドハンマー,たつた、たかほ
ウッドホーン,たつた、たかほ
えだづき,もりみつ、もりもり
くさわけ,たつた、たかほ
グラススライダー,たつた、たかほ
ソーラーブレード,たつた、はるた
タネばくだん,たつた、たかほ
タネマシンガン,まっちゃん
つるのムチ,たつた、たかほ
はっぱカッター,たつた、たかほ、とうま、ぶっちー
はなふぶき,たつた、たかほ、まちだ
パワーウィップ,たかほ
リーフブレード,たつた、たかほ、いっくん
エナジーボール,たつた、たかほ、れおさん
ギガドレイン,たつた、たかほ、あゆま、まっちゃん、みっちー、せな、いっくん
くさむすび,たつた、たかほ、もりもり、はるた、れおさん
すいとる,いっくん
ソーラービーム,たつた、はるた
ハードプラント,たかほ
はなびらのまい,たつた、たかほ、まちだ、ふうと
マジカルリーフ,まちだ、ぶっちー、はるた、まこっちゃん
メガドレイン,たつた、たかほ、あゆま、まっちゃん、みっちー、にしき、せな、いっくん
リーフストーム,たつた、たかほ
あやしいひかり,うめ、にしき、れおさん
のろい,れおさん
みちづれ,えいらく、もりみつ、うめ、とうま、ともき、みっちー、にしき、せな、れおさん
おどろかす,もりみつ、うめ、とうま、もりもり、あゆま、みっちー、いっくん
かげうち,うめ、みっちー、にしき、れおさん
かげぬい,うめ、みっちー、にしき、れおさん
ゴーストダイブ,うめ、にしき、れおさん
したでなめる,れおさん
シャドークロー,うめ、にしき、れおさん
シャドーパンチ,うめ、まっちゃん、にしき、れおさん
ふんどのこぶし,うめ、まっちゃん、にしき、れおさん
ポルターガイスト,うめ、れおさん
うらみつらみ,にしき
シャドーボール,うめ、にしき、れおさん
シャドーレイ,うめ、にしき、れおさん
たたりめ,うめ、みっちー、にしき、せな、れおさん
オーロラベール,たつた、ともき、はるた
くろいきり,うめ、ともき
さむいギャグ,あゆま、ともき
しろいきり,うめ、はるた
ゆきげしき,たつた、うめ
アイススピナー,ともき、はるた
アイスハンマー,ともき、はるた
こおりのキバ,ともき、はるた
こおりのつぶて,たつた、うめ、ともき、はるた
つららおとし,たつた、うめ、ともき、はるた
つららばり,たつた、うめ、ともき、はるた
トリプルアクセル,ともき、はるた
ゆきなだれ,たつた、うめ、ともき、はるた
れいとうパンチ,ともき、はるた、まっちゃん
オーロラビーム,ともき、はるた
こおりのいぶき,ともき、はるた
こごえるかぜ,ともき、はるた
こなゆき,うめ、ともき、はるた
ぜったいれいど,あゆま、ともき、はるた
ふぶき,たつた、うめ
フリーズドライ,にしき
れいとうビーム,ともき、はるた
すなかけ,もりみつ、うめ、とうま、れおさん
まきびし,もりみつ、うめ、もりもり、みっちー
10まんばりき,えいらく、まちだ、まっちゃん
あなをほる,えいらく、たつた、もりもり、あゆま、いっくん
じしん,まちだ、もりもり
じだんだ,"えいらく、もりみつ、うめ、もりもり、あゆま、はるた、まっちゃん、せな、いっくん
"
じならし,まちだ、もりもり
じわれ,まちだ、もりもり
すなじごく,いっくん
ドリルライナー,まちだ、もりもり、せな
ぶちかまし,まちだ、もりもり、せな、いっくん
ボーンラッシュ,"たつた、もりみつ、うめ、まちだ、とうま、もりもり、はるた、まっちゃん
"
だいちのちから,まちだ、もりもり、れおさん
どろかけ,もりみつ、うめ、とうま、もりもり、れおさん
ねっさのあらし,まちだ、もりもり
ねっさのだいち,まちだ、もりもり、いっくん
マッドショット,もりみつ、うめ、まちだ、とうま、もりもり、れおさん
エレキフィールド,うめ、せな、ぶっちー、まこっちゃん
かいでんぱ,うめ、れおさん
じゅうでん,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん"
でんじは,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、ふうと、まこっちゃん"
でんじふゆう,うめ、せな、まこっちゃん、れおさん
かみなりのキバ,うめ、せな
かみなりパンチ,うめ、まっちゃん、せな
サンダーダイブ,うめ、まちだ、あゆま、はるた、みっちー、せな
スパーク,"もりみつ、うめ、まちだ、とうま、あゆま、ともき、はるた、まっちゃん、みっちー、
せな、ふうと、まこっちゃん、れおさん"
ほっぺすりすり,もりもり
ボルテッカー,まちだ、はるた、みっちー、せな
ワイルドボルト,うめ、せな
10まんボルト,"もりみつ、うめ、まちだ、とうま、あゆま、ともき、はるた、まっちゃん、みっちー、
せな、ふうと、まこっちゃん、れおさん"
